"","EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10"
"1",2.93743954657533,3.37423779745011,3.38009179638025,2.99546826587455,3.41681932914201,3.91839471504954,2.91335092087053,3,3.32074014046729,2.51995094809739,3.71016886748487,3.38819845033099,4.27051115120872,4,3.30593864107778,3.26755644609482,3.95175485640264,3.32885567534306,3.68318892860953,3.32636149579758,3.8308852428445,3.93278592559353,3.72506173164765,5,3.76814363917889,3.88787272295962,3.87610972749372,3.9170287722439,3.86987186170544,3.91505768309022,3.57821841048192,3.251379925349,3.91307543595332,3.15129861686001,2.57601020758436,3,4.03091315812386,3.69671240131184,3.4506379742799,3.55550961928249,3,3.91594756064299,4.33063685554825,4.05938539397545,3.67485957294006,4.17182166378528,3.95391585108053,3.15824755421773,4.33202295098019,4.15413636383401
"2",1.94053617198016,2.67930958455345,2.91951818223128,1.99996438632938,3.30157654395186,3.38407484572923,2.30262505796908,2,2.04533683832655,1.83864370327203,3.06279642919932,2.4836035643353,3.68501068653311,3,2.24475893826667,2.46324982805952,2.76048936326001,2.12079911061828,2.64721607674072,2.08295529135873,3.9012529710905,3.86080203101046,4.08381135395896,4,3.78062883184241,3.98161329489219,3.72153939049702,3.93909461035479,3.78406874545699,4.04187217917768,3.74452841782188,3.9020787033156,4.34262677705412,4.06149790558009,3.26388081297028,4,4.2052489226943,4.14276723438529,3.68607229673701,3.98251594034091,4,4.1641309748072,3.94100677007592,4.16375333215649,3.92408474317345,3.90204377962403,4.20205564179074,3.68186844933777,4.34190665856237,4.10239433595402
"3",4.28099254820222,4.52401182655544,4.52066109991925,4.57916808359655,4.74356585548442,5.04245667404438,4.33671837984282,5,4.76071945665904,3.9332994395305,4.88081122576841,4.41593340361955,5.19377982637139,5,4.16794039459658,4.30752182319487,4.33603580455165,3.87026307076848,4.74435174517844,3.75139932512957,4.6053404499355,5.12243224033797,4.82334092713156,5,4.69300312922785,4.65240600836628,4.89859490399386,4.91105670761431,4.65691918013377,4.85727029834511,4.99949275649218,4.5162449720874,5.62592335544234,4.79340896258396,4.32112903044825,5,5.03796247996401,5.02021599407278,4.71245777313103,5.11949327024392,4,5.1108343219931,5.55715514884346,5.46017565154202,5.3832752396892,5.51162160530814,5.4895159029539,4.95042979946745,5.55120477193887,5.42597060466846
"4",3.74085779885499,4.40686798649776,3.96927634897128,3.90292976548843,4.22711071638305,4.62337415062004,3.62781738879472,4,4.30075231867843,3.36529773466425,3.55987472935103,3.27758037075963,4.03790851658469,4,3.17957679420947,3.42075043391685,3.64255446828463,3.34175662323094,3.75797116082759,3.59832424126716,4.1790206464824,4.46222650630953,3.8385552422992,4,4.02488315156682,4.08054984286125,4.28221198372995,4.13976081733907,4.18522422271744,3.94387390949167,3.60792593581191,2.96034731500415,4.44441182731233,3.6622475651198,2.68104945539747,3,3.70013811737197,3.63813843520197,3.22368719879676,4.03075420931655,5,4.79781384357778,4.96209230246181,4.88059234325629,4.50734543940818,4.83485781720868,4.94388932659755,4.42509818096464,4.8234880682287,4.86383783417839
"5",2.35651114676306,3.31962082634314,3.50268982891904,2.85495196293687,3.4191495611804,3.71833678172704,2.69957555106398,2,2.38172869160308,2.30103528389758,3.28469789927009,2.56330363826879,3.92185247001921,3,2.76938017082536,2.36941727994976,2.56490032386368,2.20722845983197,2.64448778874021,2.1881102719074,4.22266725169346,4.20500506009745,4.40384440451404,5,4.4201568701437,4.38684671802879,4.28122455848081,4.38102186325691,4.5065041710897,4.0453261932366,3.90203521089609,3.77740273468287,4.38084068091898,4.03856302320117,3.45805482492329,4,4.00201006919327,4.20110950933713,3.82481544955127,3.80477739994526,4,4.24148630647575,4.08239476318486,4.342795960928,3.90155318660192,4.20209490635129,4.34272785331602,3.18348639061418,4.50467761820148,3.99956014865699
"6",2.56566211423465,3.1257826244233,3.16705282408482,2.50494450948963,3.08688523852581,3.56532943127201,2.30521808010147,2,2.52598882073951,2.04665742957285,2.90667852943077,2.2262065126046,3.58827587922014,3,2.48810163315485,2.30667756803298,2.6075565979673,2.14622498849055,2.60933715510588,2.44521375350617,4.04711574179088,4.08814447294513,3.88686402083861,5,4.10698945414367,3.989635892662,3.94732533633065,3.92849926140541,4.14747893594535,3.64763609152335,2.76818896283376,1.64614226503648,3.60704468911621,2.52592621676759,1.4463491197329,1,3.10701739136042,3.2087441581056,2.58619373618635,3.04458610209085,5,3.92499755237272,4.04643006729508,4.02592395543664,3.86524044167559,4.10745199687757,4.10760796654737,3.92712934137996,4.26656478738072,4.0255187329605
"7",3.76951967187673,4.32930475946617,4.29303455301848,4.04728861728357,4.28977283432359,4.57401473786882,4.03092785733102,5,4.41141529000249,3.47150775100957,3.76834724802174,3.46311055994567,4.12731987069524,4,3.42682294745175,3.06695183051715,3.6644913530908,3.23864012637746,3.499640656691,3.39624825545598,4.54674817594973,4.53663296823069,4.08902167022055,5,4.23138911020507,4.5363482990678,4.45702858380046,4.2449911976883,4.57180286647477,4.16650136360185,3.29770911257314,3.27971675860767,4.18185742450774,3.53603460755095,2.94173295880921,2,3.81839355334138,3.88248345310736,3.44791971213224,3.80286365745929,4,4.280980475748,4.52567539560481,4.23026950952322,4.54615835578814,4.70670535542371,4.66196272651596,3.63813735040759,4.55926425592429,4.54323663845015
"8",2.95759231202968,3.67669146737981,3.15649740919826,3.07607915151448,3.47860656246817,3.91738161251379,2.99835154731243,3,3.4980680515953,2.59628506514434,3.47828962633987,2.8372605153679,3.75996746228687,4,2.91703243458039,3.07734358738983,3.338249036124,2.93846497671561,3.25606713375262,3.23726401816905,3.97832198801591,4.01855973066795,3.30047648627127,4,3.6975247722423,3.79799237110145,3.81781269639665,3.53787778524476,3.81766254588266,3.39744452826002,2.74000560044523,1.84073628107422,3.65926953595144,2.4398221702921,1.67936237627971,1,3.04010682572397,2.95896870222026,2.41789769231396,3.2377565143598,5,4.07815011368954,4.20081057652237,4.21831145550117,3.99909280238785,4.10117978199527,4.13949943066644,4.14002826920671,4.2992174068484,4.23905423288235
"9",2.32776874265597,2.7260298544036,3.29025066835873,2.42944072124741,3.16847141416891,3.62860172227619,2.68768845534603,1,2.08765993280643,2.0475721660959,3.34792354269789,2.42511458041316,3.92591144942645,3,2.50547612516967,2.6656390499666,2.8063280950149,2.26565797116865,2.8432423160883,2.18384620626856,3.94972655051936,4.14747003444279,4.33047147125279,5,4.13116790073789,4.22859012451326,4.28906442762647,4.24878443230517,4.28877052447633,4.07021127389708,4.00767367846238,4.10950713319605,4.64672131257381,4.20714943572947,3.64823491596566,5,4.48713465815081,4.18971656427223,4.24776298984434,4.24714438919676,4,4.22887252071248,3.89114089716408,4.50992121342157,4.00877881481749,4.26786083500761,4.12956476784974,3.40683955062935,4.54882291134169,4.20961974302291
"10",2.32776874265597,2.7260298544036,3.29025066835873,2.42944072124741,3.16847141416891,3.62860172227619,2.68768845534603,1,2.08765993280643,2.0475721660959,3.34792354269789,2.42511458041316,3.92591144942645,3,2.50547612516967,2.6656390499666,2.8063280950149,2.26565797116865,2.8432423160883,2.18384620626856,3.94972655051936,4.14747003444279,4.33047147125279,5,4.13116790073789,4.22859012451326,4.28906442762647,4.24878443230517,4.28877052447633,4.07021127389708,4.00767367846238,4.10950713319605,4.64672131257381,4.20714943572947,3.64823491596566,5,4.48713465815081,4.18971656427223,4.24776298984434,4.24714438919676,4,4.22887252071248,3.89114089716408,4.50992121342157,4.00877881481749,4.26786083500761,4.12956476784974,3.40683955062935,4.54882291134169,4.20961974302291
"11",2.6738997974982,3.37638131237439,3.20923554337059,2.93668834013298,3.47301879551798,4.21773026441352,2.85078683605986,2,2.5721427969215,2.37697117617757,4.6543214296276,4.05532879810606,5.0498313007245,5,3.70938663913288,3.92837487447232,3.91128551970508,3.70922034096159,4.29507699040546,4.25785196057074,4.42872695054172,4.40866538692592,4.26880039181688,4,4.26647918589487,4.04514773461308,4.48991320055265,4.24934489505302,4.33296174865976,3.76671503913988,4.41407421964485,4.41616384849266,5.11355889063845,4.49004580667536,3.81361253604886,5,5.01658545358425,4.57518050338409,4.31285467834017,4.7141342641424,5,5.03272116410702,5.17398544053837,4.97648460099482,4.53673788253889,5.03226213598946,4.9577045770034,4.47793614134956,5.25562064941604,4.81463949971631
"12",2.96924959040362,3.58737238328449,3.78639504621141,3.26912164321033,3.66877491853021,3.76828383522659,3.17135045476228,3,3.3904439812289,2.66808524918419,2.31065939178565,1.84538515235987,3.02828704635523,1,1.70556907564786,1.83132103412311,2.02999594432856,1.44953119409164,2.00910807591496,1.58934477243691,4.00692465355571,4.00634718459017,3.73175263272304,5,3.70746859257444,3.62971083339622,3.76436192861242,3.73241330687762,3.70889105704064,3.50880151382112,3.42725761239912,3.10600177569625,3.76872448231133,3.70433256555725,2.84861639588342,4,3.54616928094156,3.64697112813265,3.44715579264283,3.42781710582221,3,3.47002279802135,3.50569772719406,3.66852251088383,3.53063104580046,3.76941865990001,3.64886663825485,2.3880230620047,3.50772381121237,3.7895808100382
"13",2.58769934488223,3.19375629888612,3.02861644768296,2.89138542753179,3.14989333103874,3.55266262327135,2.62843629079967,4,3.19008193319019,2.58879203684682,2.96731317690987,2.82463352113457,3.54761314049232,2,2.98508653249024,2.84685848379361,3.00107792379198,2.82319559994276,3.3439228104524,3.02820487920237,3.04935116552889,3.25216779339599,3.25079424797135,4,3.04803663748524,2.8290359272808,2.90848337435417,3.36790505971496,2.92972689790531,3.39000144353386,2.96631095453395,2.587810649313,3.70472986901844,3.19220828443472,2.45058594792754,5,3.19131245278473,2.90734370868811,2.53076908200011,3.41272724964327,1,3.88971063151206,3.87049971005893,3.88929665661632,3.72780253589188,3.97181187158926,4.03107765294441,3.56618956717285,4.11078603858818,4.00888027248916
